File,registro,fecha,Unidad,proyecto,Solicitante,cantidad-solicitada,cantidad-subvencionada,Paises,Puntos-a,puntos-b,puntos-c,puntos-d
2007-3.csv,07-CAP3-0960,0028/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,MAURITANIA: CARAVANA DE CINE HACIA WALATA. Proyecto de documentación y colaboracion,"Pujol Cruells, Adria",7680,7680,Magreb y Oriente Medio: Mauritania,2.5,1.5,1.5,2
2007-3.csv,07-CAP3-0961,0026/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,FOMENTO DEL EMPLEO E INTEGRACIÓN SOCIAL PARA TRABAJADORES EMIGRANTES Y RETORNADOS EN CASTILLA Y LEÓN,Asociación Cultural Centro UNESCO de Castilla y León,29840,18000,Sin Determinar. General: España,2,2,2,2
2007-3.csv,07-CAP3-0963,0026/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL","ABASTECIMIENTO DE AGUA POTABLE Y ELECTRICIDAD MEDIANTE SISTEMAS FOTOVOLTAICOS EN GARF HUSSEIN, EGIPTO (FASE III)",Universidad Politécnica de Madrid,50000,50000,Magreb y Oriente Medio: Egipto,3,2,2,2
2007-3.csv,07-CAP3-0964,01/10/0007,GABINETE TÉCNICO,PROYECTO DE DIFUSIÓN Y SENSIBILIZACIÓN MUNICIPAL EN PROYECTOS DE COOPERACIÓN AL DESARROLLO,Federación Asturiana de Concejos,30800,30800,Sin Determinar. General: España,2,2,2,2.5
2007-3.csv,07-CAP3-0967,0026/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,JORNADAS HERNANDIANAS EN CUBA,Fundación Cultural Miguel Hernández,26500,16500,Iberoamérica y Caribe: Cuba,2.5,1.5,2,2
2007-3.csv,07-CAP3-0968,0027/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL",CONSTRUCCION CENTRO ENSEÑANZA CON DEPARTAMENTO ASISTENCIA MEDICA PRIMARIA,INTERCHILDRENS,143605,143605,África Subsahariana: Mali,2,1.5,1.5,2.5
2007-3.csv,07-CAP3-0971,0026/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL",Abastecimiento de agua en quince escuelas primarias del Valle del Logone,ASOCIACIÓN GLOBALMÓN,32901,32901,África Subsahariana: Camerún ; Chad,3,2,2,2
2007-3.csv,07-CAP3-0975,0026/9/7,D COOPERACIÓN CON AMÉRICA LATINA Y EL CARIBE,ALDA EDUCA para el fortalecimiento del sistema público de educación en comunidades de escasos recursos.,FUNDACIÓN ALDA,191980,191980,Iberoamérica y Caribe: Paraguay,3,1.5,2,1.5
2007-3.csv,07-CAP3-0977,0026/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,"PROYECTO DE PRESERVACIÓN Y SALVAGUARDA DEL ARTE POPULAR Y LAS ARTESANIAS, DE COMUNIDADES INDÍGENAS DE MÉXICO.",ENCUENTRO PARA EL CAMINO A.C.,40206,29000,Iberoamérica y Caribe: México,2,2,2,2
2007-3.csv,07-CAP3-0979,0027/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL",Diseño y puesta en marcha en español de un portal de información sobre Etiopia,"Belay Zeleke, Dawit",28800,28800,África Subsahariana: Etiopía,2,2,2,1.5
2007-3.csv,07-CAP3-0981,0026/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL",Hermana Mayor (Aumentar la conciencia publica sobre los delitos sexuales y la Ley que los regula),Leadership Development Consortium,160865,160865,África Subsahariana: Kenia,2,2,2,1.5
2007-3.csv,07-CAP3-0982,0027/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL",Apoyo para la definición de prioridades y líneas de actuación de la cooperación española en el sector pesquero y acuícola de Senegal,Canaest,30000,30000,África Subsahariana: Senegal,3,2,2,3
2007-3.csv,07-CAP3-0985,0026/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,SH Shanghai in Art - Feria Internacional de Arte Contemporáneo,Pepe Cobo S.L.,31764,18000,Asia Pacífico: China,2,2,2,1.5
2007-3.csv,07-CAP3-0989,01/10/0007,GABINETE TÉCNICO,Creación de un banco médico de emergencia en el Servico de Urgencias del Hospital Nacional Simao Mendes y asistencia integral de pacientes seropositivos en Bissau,"Asociación Aida, Ayuda, Intercambio Y Desarrollo- AIDA",368386,368386,África Subsahariana: Guinea_Bissau,3,2,2,2
2007-3.csv,07-CAP3-0990,0027/9/7,GABINETE TÉCNICO,"Rehabilitación de las comunidades afectadas por el ciclón y las inundaciones en la provincia de Sindh, Pakistán",Fundación Ayuda en Acción-AYUDA EN ACCIÓN,224648,224648,Asia Pacífico: Pakistán,1.5,2,2,2.5
2007-3.csv,07-CAP3-0991,0026/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,Feria de Shangai,Industrias Artísticas Madrileñas S:A,54.506,18000,Asia Pacífico: China,2,2,2,1.5
2007-3.csv,07-CAP3-0992,0027/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,Proyecto de Educación Artística con poblaciones desfavorecidas en Uganda,IN MOVEMENT ARTE PARA EL CAMBIO SOCIAL,80.109,52787,África Subsahariana: Uganda,2.5,1.5,2,2.5
2007-3.csv,07-CAP3-0993,0026/9/17,D RELACIONES CULTURALES Y CIENTÍFICAS,"Congreso Internacional sobre Comunicación, calidad, interculturalidad y prospectiva en Educación",Asociación Cultural Centro UNESCO de Castilla y León,36000,32000,Sin Determinar. General: España,2,2,2,2
2007-3.csv,07-CAP3-0994,0027/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,The World Orchestra - Proyecto Temporada 2007-08,EAST-West Music S.L.,36000,36000,Sin Determinar. General: España,2.5,2,1.5,2.5
2007-3.csv,07-CAP3-0995,0027/9/7,GABINETE TÉCNICO,PROYECTO LIBRO-DVD COOPERANTES,FUNDACIÓN TUS OJOS,30000,30000,Sin Determinar. General: España,2.5,1.8,2,2.75
2007-3.csv,07-CAP3-0998,0028/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL",Granja Agropecuaria ONDENG (rev),"Cooperativa de Fomento y Desarrollo (COFYDES), Guinea Ecuatorial",59885,59885,África Subsahariana: Guinea Ecuatorial,2.5,1.5,1.5,2
2007-3.csv,07-CAP3-1000,0027/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,ESTADO Y PROSPECTIVA DE LA COOPERACIÓN CON IBEROAMERICA EN CULTURA-COMUNICACIÓN,FUNDACIÓN ALTERNATIVAS,75141,75141,Sin Determinar. General: España,2.5,1.5,2,2
2007-3.csv,07-CAP3-1001,0027/9/7,GABINETE TÉCNICO,Mecanismos y nuevos instrumentos para la cooperación al Desarrollo española: rendición de cuentas y fondos de cohesión para América Latina,FUNDACIÓN ALTERNATIVAS,125695,125695,Sin Determinar. General: España,3,2,2,1.5
2007-3.csv,07-CAP3-1002,0028/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,Cine Bajo las Estrellas,Asociación Däash,38220,28920,Iberoamérica y Caribe: Argentina ; Uruguay,2,2,2,2
2007-3.csv,07-CAP3-1003,0027/9/7,GABINETE TÉCNICO,Impulso de las acciones de sensibilización y mejora de servicios de la Coordinadora de ONGD-España hacia la sociedad española e instituciones del sector.,Coordinadora de ONG para el Desarrollo España (CONGDE),348712,348712,Sin Determinar. General: España,3,2,2,1
2007-3.csv,07-CAP3-1007,0028/9/7,GABINETE TÉCNICO,Rehabilitación de las condiciones de salud y seguridad alimentaria de 14 comunidades de Tasba Pri (RAAN) afectadas por el Huracán Felix en Nicaragua,Farmaceúticos Mundi-FARMACEUTICOS MUNDI,304634,304634,Iberoamérica y Caribe: Nicaragua,2.5,2,2,1.5
2007-3.csv,07-CAP3-1009,0027/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,"Teatro, Paz y Tolerancia: Puesta en Escena",Asociación Teatral Druida,7089,7089,Sin Determinar. General: España,2,2,1.5,2
